date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-03-02,1.0887,0.6764,131.37,1.7492,2.06,1.6095505617977528,120.66685037200331,1.1776812257031786,75.10290418477018,63.771844660194176,0.622398810884976,0.5284951456310679,194.2193968066233
1999-03-03,1.0899,0.6723,132.18,1.7454,2.0567,1.6211512717536816,121.27718139278832,1.1783545319124558,75.73049157786181,64.26800213934943,0.6244413887933998,0.5299265814168328,196.6086568496207
1999-03-04,1.0866,0.6759,133.92,1.7494,2.067,1.6076342654238793,123.2468249585864,1.1815479593003315,76.55196067223046,64.78955007256893,0.6211272436263862,0.525689404934688,198.1358189081225
1999-03-05,1.0834,0.6737,133.19,1.7329,2.0498,1.608134184355054,122.93705002769062,1.1828726412372321,76.85959951526343,64.97707093374964,0.6251947602285186,0.5285393696946044,197.69927267329672
1999-03-08,1.0908,0.6776,132.77,1.7348,2.0413,1.6097992916174735,121.71800513384673,1.176677426792714,76.5333179617247,65.04188507323764,0.6287756513719162,0.5343653554107676,195.94155844155847
1999-03-09,1.0863,0.6754,132.45,1.7125,2.0354,1.6083802191294048,121.92764429715547,1.1885547445255475,77.34306569343066,65.07320428417017,0.6343357664233578,0.5337034489535226,196.10601125259103
1999-03-10,1.0953,0.6746,131.74,1.7237,2.0461,1.6236288170767863,120.27754952980919,1.1870395080350409,76.42861286766839,64.38590489223401,0.6354354005917503,0.535311079614877,195.28609546397868
1999-03-11,1.0891,0.6694,131.0,1.7144,2.0368,1.6269793845234537,120.28280231383712,1.188054129724685,76.41157256182922,64.31657501963865,0.6352659822678488,0.5347113118617439,195.69763967732297
1999-03-12,1.0932,0.6686,130.8,1.7247,2.0522,1.6350583308405624,119.64873765093306,1.1898880964805474,75.83927639589496,63.73647792612806,0.6338493651069751,0.5326966182633271,195.63266527071494
1999-03-15,1.0949,0.6739,128.85,1.7325,2.0483,1.6247217688084283,117.68198008950588,1.1822799422799422,74.37229437229438,62.905824342137386,0.631976911976912,0.5345408387443246,191.20047484790027
1999-03-16,1.0901,0.6703,128.65,1.7365,2.0613,1.6262867372818142,118.01669571598936,1.1870429023898648,74.08580477972934,62.41207005287925,0.6277569824359344,0.5288410226556057,191.928987020737
1999-03-17,1.0966,0.6744,130.18,1.7502,2.0842,1.626037959667853,118.71238373153383,1.190835333104788,74.38007084904582,62.460416466749834,0.626556964918295,0.5261491219652624,193.0308422301305
1999-03-18,1.1012,0.676,129.78,1.7458,2.0721,1.6289940828402365,117.85325099891028,1.1869057165769274,74.33841218925421,62.63211234979008,0.630770993240921,0.5314415327445586,191.98224852071004
1999-03-19,1.0915,0.6708,127.99,1.7316,2.0521,1.6271615980918306,117.26065048098947,1.1850889350889349,73.91429891429891,62.370254860874226,0.6303418803418803,0.5318941572048146,190.8020274299344
1999-03-22,1.0864,0.6677,128.0,1.7174,2.0381,1.627078029054965,117.82032400589101,1.1867357633632234,74.5312681961104,62.8035915803935,0.632584138814487,0.5330454835385898,191.70286056612252
1999-03-23,1.0896,0.6706,128.94,1.7044,2.0221,1.6248135997614077,118.33700440528635,1.1863999061253228,75.65125557380897,63.76539241382721,0.6392865524524759,0.5388457544137283,192.27557411273486
1999-03-24,1.0928,0.6653,128.6,1.7094,2.0301,1.6425672628889223,117.67935578330892,1.1876096876096875,75.23107523107522,63.34663317077976,0.6392886392886393,0.538298605980001,193.2962573275214
1999-03-25,1.0898,0.6668,128.65,1.7102,2.0329,1.6343731253749252,118.04918333639199,1.1886913811250148,75.22511986902117,63.28397855280633,0.6372354110630336,0.5360814599832752,192.93641271745653
1999-03-26,1.0815,0.665,128.93,1.6998,2.0138,1.626315789473684,119.2140545538604,1.1847276150135309,75.8501000117661,64.02323964643958,0.6362513236851394,0.5370443936835833,193.8796992481203
1999-03-29,1.0692,0.6615,128.78,1.6904,2.0073,1.6163265306122447,120.4451926674149,1.1874704212020823,76.18315191670611,64.15583121606139,0.6325130146710838,0.5326558063069795,194.6787603930461
1999-03-30,1.0711,0.6638,128.86,1.7003,2.0107,1.6135884302500754,120.30622724302121,1.1825560195259661,75.78662588954892,64.08713383398818,0.6299476562959477,0.5327000547073159,194.12473636637546
1999-03-31,1.0742,0.6663,127.81,1.706,2.0243,1.6121867026864776,118.9815676782722,1.1865767878077376,74.91793669402111,63.137874820925745,0.629660023446659,0.5306525712592006,191.82050127570164
1999-04-01,1.0772,0.669,128.72,1.6928,2.0108,1.6101644245142002,119.494987003342,1.1878544423440454,76.03969754253308,64.01432265764869,0.6363421550094517,0.5357071812214044,192.406576980568
1999-04-02,1.0772,0.672,129.85,1.6992,2.0204,1.6029761904761903,120.54400297066469,1.189030131826742,76.41831450094162,64.26945159374381,0.6339453860640301,0.5331617501484854,193.22916666666666
1999-04-05,1.0752,0.6702,130.55,1.6956,2.0148,1.604297224709042,121.41927083333336,1.1882519462137298,76.9933946685539,64.79551320230296,0.6341118188251946,0.5336509827278141,194.79259922411222
1999-04-06,1.0726,0.6759,129.99,1.7063,2.0263,1.586921142180796,121.1914972962894,1.1875402918595792,76.18238293383345,64.15140897201798,0.6286116157768271,0.5293391896560233,192.32134931202845
1999-04-07,1.0812,0.6772,131.27,1.7213,2.0341,1.5965741287655049,121.4113947465779,1.1817231162493465,76.26212746180212,64.53468364387199,0.628129901818393,0.5315372892188192,193.8422917897224
1999-04-08,1.0818,0.6731,130.45,1.7324,2.0382,1.6071906106076363,120.58606026992048,1.1765181251443084,75.30016162549065,64.00255127072907,0.6244516277995845,0.5307624374448043,193.80478383598273
